,proportion,type,ROI,net,layer
249,-0.10050508638831526,semantic,EVC,dctrained,ReLu2
250,-1.0758462165759282,perceptual,EVC,dctrained,ReLu2
251,-0.006811197065913396,semantic,EVC,dctrained,ReLu2
252,1.394351863590227,perceptual,EVC,dctrained,ReLu2
253,0.006346698749054787,semantic,EVC,dctrained,ReLu2
254,-6.2454768522129465,perceptual,EVC,dctrained,ReLu2
255,-0.14409436126512615,semantic,EVC,dctrained,ReLu2
256,1.621125543269838,perceptual,EVC,dctrained,ReLu2
257,0.007626518795067291,semantic,EVC,dctrained,ReLu2
258,0.9830259550726753,perceptual,EVC,dctrained,ReLu2
259,0.007885339513573513,semantic,EVC,dctrained,ReLu2
260,-2.535672257887536,perceptual,EVC,dctrained,ReLu2
261,-0.010575880130306905,semantic,EVC,dctrained,ReLu2
262,0.5616480985847524,perceptual,EVC,dctrained,ReLu2
263,-0.0017254289840541949,semantic,EVC,dctrained,ReLu2
264,-28.506970919435044,perceptual,EVC,dctrained,ReLu2
265,0.17251902205658873,semantic,EVC,dctrained,ReLu2
266,0.15207021152813072,perceptual,EVC,dctrained,ReLu2
267,8.773721704711242e-05,semantic,EVC,dctrained,ReLu2
268,0.9902928729010909,perceptual,EVC,dctrained,ReLu2
269,-0.001186463289587061,semantic,EVC,dctrained,ReLu2
270,1.4106413629741879,perceptual,EVC,dctrained,ReLu7
271,0.11652428486550041,semantic,EVC,dctrained,ReLu7
272,-0.4820619938422082,perceptual,EVC,dctrained,ReLu7
273,-0.31264586688828266,semantic,EVC,dctrained,ReLu7
274,1.186510690866193,perceptual,EVC,dctrained,ReLu7
275,0.027240254807595916,semantic,EVC,dctrained,ReLu7
276,0.9628312651605498,perceptual,EVC,dctrained,ReLu7
277,-0.01951394047887723,semantic,EVC,dctrained,ReLu7
278,-0.21515090001752613,perceptual,EVC,dctrained,ReLu7
279,-0.03728127080542139,semantic,EVC,dctrained,ReLu7
280,1.299655518050969,perceptual,EVC,dctrained,ReLu7
281,0.17931438839385688,semantic,EVC,dctrained,ReLu7
282,1.4227351373396522,perceptual,EVC,dctrained,ReLu7
283,0.04023962361138706,semantic,EVC,dctrained,ReLu7
284,-14.248070537777656,perceptual,EVC,dctrained,ReLu7
285,-1.832250071706888,semantic,EVC,dctrained,ReLu7
286,1.4016865983179367,perceptual,EVC,dctrained,ReLu7
287,0.06126982537676464,semantic,EVC,dctrained,ReLu7
