,corr,p,layer,ROI,state
0,0.07530245845910005,0.17098290170982902,ReLu1,EVC,randomstate
1,0.0017620616409159454,0.9711028897110289,ReLu1,EVC,randomstate
2,0.02351746263861872,0.5849415058494151,ReLu1,EVC,randomstate
3,0.16202528430827404,0.00019998000199980003,ReLu1,EVC,randomstate
4,0.0510247954216479,0.09369063093690631,ReLu1,EVC,randomstate
5,0.02482944703576185,0.6256374362563744,ReLu1,EVC,randomstate
6,0.190453399753474,9.999000099990002e-05,ReLu1,EVC,randomstate
7,0.03709571347176692,0.39076092390760925,ReLu1,EVC,randomstate
8,0.18867920086558826,0.00019998000199980003,ReLu1,EVC,randomstate
9,0.14323244266114923,0.0027997200279972004,ReLu1,EVC,randomstate
10,0.12987154881109017,0.007999200079992,ReLu1,EVC,randomstate
11,-0.009737107915299881,0.8572142785721428,ReLu1,EVC,randomstate
12,0.10094241881799107,0.0400959904009599,ReLu1,EVC,randomstate
13,0.2542035319531014,9.999000099990002e-05,ReLu1,EVC,randomstate
14,0.19271548951540887,9.999000099990002e-05,ReLu1,EVC,randomstate
15,0.15093417531505635,0.0023997600239976003,ReLu1,IT,randomstate
16,0.048887232993986986,0.3802619738026197,ReLu1,IT,randomstate
17,0.07852770020402354,0.0861913808619138,ReLu1,IT,randomstate
18,0.25279063851557154,9.999000099990002e-05,ReLu1,IT,randomstate
19,0.13845941100567136,0.007999200079992,ReLu1,IT,randomstate
20,0.032416875235644745,0.49175082491750827,ReLu1,IT,randomstate
21,0.1252213896747451,0.0027997200279972004,ReLu1,IT,randomstate
22,0.1246407928335661,0.019498050194980503,ReLu1,IT,randomstate
23,0.20651550242828395,9.999000099990002e-05,ReLu1,IT,randomstate
24,0.14252974778377156,0.00019998000199980003,ReLu1,IT,randomstate
25,0.16648705300670527,0.00019998000199980003,ReLu1,IT,randomstate
26,0.0694132274058922,0.22107789221077892,ReLu1,IT,randomstate
27,0.1849735395365679,9.999000099990002e-05,ReLu1,IT,randomstate
28,0.23542764713047,9.999000099990002e-05,ReLu1,IT,randomstate
29,0.1979212169660733,9.999000099990002e-05,ReLu1,IT,randomstate
30,0.043018091871033136,0.44625537446255376,ReLu1,EVC,100epochs
31,-0.08060417696715982,0.09629037096290372,ReLu1,EVC,100epochs
32,0.011367290441872121,0.7877212278772123,ReLu1,EVC,100epochs
33,0.12042642758774405,0.0053994600539946005,ReLu1,EVC,100epochs
34,-0.0022529652110425567,0.9386061393860614,ReLu1,EVC,100epochs
35,-0.005792945761009604,0.9075092490750925,ReLu1,EVC,100epochs
36,0.1069219515710709,0.010798920107989201,ReLu1,EVC,100epochs
37,-0.018458875166221855,0.670932906709329,ReLu1,EVC,100epochs
38,0.11418773769554971,0.014698530146985302,ReLu1,EVC,100epochs
39,0.13366258845818735,0.004399560043995601,ReLu1,EVC,100epochs
40,0.030716830062095298,0.5312468753124687,ReLu1,EVC,100epochs
41,-0.028590702300719716,0.5885411458854115,ReLu1,EVC,100epochs
42,0.02789615519976073,0.5788421157884212,ReLu1,EVC,100epochs
43,0.2190229630382163,0.00019998000199980003,ReLu1,EVC,100epochs
44,0.11872576220616689,0.018098190180981903,ReLu1,EVC,100epochs
45,0.09696501606557811,0.06009399060093991,ReLu1,IT,100epochs
46,0.027213851604044853,0.6248375162483751,ReLu1,IT,100epochs
47,0.07090221567309701,0.12438756124387561,ReLu1,IT,100epochs
48,0.20346721285578653,9.999000099990002e-05,ReLu1,IT,100epochs
49,0.09542426308667641,0.0760923907609239,ReLu1,IT,100epochs
50,-0.0520327903591602,0.2666733326667333,ReLu1,IT,100epochs
51,0.05760406541110591,0.18448155184481552,ReLu1,IT,100epochs
