,corr,p,layer,ROI,state,net
0,0.27210147967430826,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
1,0.2721503808932305,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
2,0.3084433291432113,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
3,0.267321396853968,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
4,0.23123828456268983,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
5,0.22421275158428927,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
6,0.2769152189642581,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
7,0.25703024529560015,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
8,0.22949669346769033,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
9,0.2699098511721635,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
10,0.24448278674848525,9.999000099990002e-05,ReLu1,IT,randomstate,dc
11,0.2770453528743983,9.999000099990002e-05,ReLu1,IT,randomstate,dc
12,0.28762113689064833,9.999000099990002e-05,ReLu1,IT,randomstate,dc
13,0.2559723408716703,9.999000099990002e-05,ReLu1,IT,randomstate,dc
14,0.24207997798551079,9.999000099990002e-05,ReLu1,IT,randomstate,dc
15,0.2441310857699526,9.999000099990002e-05,ReLu1,IT,randomstate,dc
16,0.27191330028054,9.999000099990002e-05,ReLu1,IT,randomstate,dc
17,0.25367460182715174,9.999000099990002e-05,ReLu1,IT,randomstate,dc
18,0.23553502361051676,9.999000099990002e-05,ReLu1,IT,randomstate,dc
19,0.2764681854187842,9.999000099990002e-05,ReLu1,IT,randomstate,dc
20,0.1359643679346922,0.0047995200479952005,ReLu1,EVC,100epochs,dc
21,0.13996103034678656,0.0040995900409959,ReLu1,EVC,100epochs,dc
22,0.14087005441444866,0.003999600039996,ReLu1,EVC,100epochs,dc
23,0.1402490179157825,0.0034996500349965005,ReLu1,EVC,100epochs,dc
24,0.15302434082683242,0.0012998700129987,ReLu1,EVC,100epochs,dc
25,0.13758267538347535,0.005599440055994401,ReLu1,EVC,100epochs,dc
26,0.14965735496256233,0.0015998400159984002,ReLu1,EVC,100epochs,dc
27,0.14523455728340548,0.0021997800219978004,ReLu1,EVC,100epochs,dc
28,0.1491279415618794,0.0024997500249975004,ReLu1,EVC,100epochs,dc
29,0.14113205132432147,0.0028997100289971,ReLu1,EVC,100epochs,dc
30,0.1610142259586492,0.00019998000199980003,ReLu1,IT,100epochs,dc
31,0.153096804061203,0.00029997000299970003,ReLu1,IT,100epochs,dc
32,0.15739748227254638,0.00019998000199980003,ReLu1,IT,100epochs,dc
33,0.1575828272943601,9.999000099990002e-05,ReLu1,IT,100epochs,dc
34,0.1626602809681671,9.999000099990002e-05,ReLu1,IT,100epochs,dc
35,0.15134165264365232,0.00029997000299970003,ReLu1,IT,100epochs,dc
36,0.16366341289232586,0.00039996000399960006,ReLu1,IT,100epochs,dc
37,0.15813716811703302,0.00019998000199980003,ReLu1,IT,100epochs,dc
38,0.1567279633712468,9.999000099990002e-05,ReLu1,IT,100epochs,dc
39,0.15395972299947103,0.0004999500049995,ReLu1,IT,100epochs,dc
40,0.4517874351799635,9.999000099990002e-05,ReLu2,EVC,randomstate,dc
41,0.4774991209367163,9.999000099990002e-05,ReLu2,EVC,randomstate,dc
