,corr,p,layer,ROI,state
0,0.07530245845910005,0.17318268173182683,ReLu1,EVC,randomstate
1,0.0017620616409159454,0.9726027397260274,ReLu1,EVC,randomstate
2,0.02351746263861872,0.5817418258174183,ReLu1,EVC,randomstate
3,0.16202528430827404,0.00019998000199980003,ReLu1,EVC,randomstate
4,0.0510247954216479,0.0923907609239076,ReLu1,EVC,randomstate
5,0.02482944703576185,0.631036896310369,ReLu1,EVC,randomstate
6,0.190453399753474,9.999000099990002e-05,ReLu1,EVC,randomstate
7,0.03709571347176692,0.39676032396760325,ReLu1,EVC,randomstate
8,0.18867920086558826,0.00019998000199980003,ReLu1,EVC,randomstate
9,0.14323244266114923,0.0018998100189981002,ReLu1,EVC,randomstate
10,0.12987154881109017,0.007899210078992101,ReLu1,EVC,randomstate
11,-0.009737107915299881,0.8535146485351465,ReLu1,EVC,randomstate
12,0.10094241881799107,0.04079592040795921,ReLu1,EVC,randomstate
13,0.2542035319531014,9.999000099990002e-05,ReLu1,EVC,randomstate
14,0.19271548951540887,0.00029997000299970003,ReLu1,EVC,randomstate
15,0.15093417531505635,0.0029997000299970002,ReLu1,IT,randomstate
16,0.048887232993986986,0.38076192380761925,ReLu1,IT,randomstate
17,0.07852770020402354,0.08859114088591141,ReLu1,IT,randomstate
18,0.25279063851557154,9.999000099990002e-05,ReLu1,IT,randomstate
19,0.13845941100567136,0.009799020097990201,ReLu1,IT,randomstate
20,0.032416875235644745,0.49405059494050596,ReLu1,IT,randomstate
21,0.1252213896747451,0.0037996200379962005,ReLu1,IT,randomstate
22,0.1246407928335661,0.018198180181981802,ReLu1,IT,randomstate
23,0.20651550242828395,9.999000099990002e-05,ReLu1,IT,randomstate
24,0.14252974778377156,0.00019998000199980003,ReLu1,IT,randomstate
25,0.16648705300670527,9.999000099990002e-05,ReLu1,IT,randomstate
26,0.0694132274058922,0.21507849215078492,ReLu1,IT,randomstate
27,0.1849735395365679,9.999000099990002e-05,ReLu1,IT,randomstate
28,0.23542764713047,9.999000099990002e-05,ReLu1,IT,randomstate
29,0.1979212169660733,9.999000099990002e-05,ReLu1,IT,randomstate
30,0.043018091871033136,0.44935506449355067,ReLu1,EVC,100epochs
31,-0.08060417696715982,0.09769023097690231,ReLu1,EVC,100epochs
32,0.011367290441872121,0.791020897910209,ReLu1,EVC,100epochs
33,0.12042642758774405,0.0051994800519948,ReLu1,EVC,100epochs
34,-0.0022529652110425567,0.9403059694030597,ReLu1,EVC,100epochs
35,-0.005792945761009604,0.9135086491350864,ReLu1,EVC,100epochs
36,0.1069219515710709,0.010198980101989802,ReLu1,EVC,100epochs
37,-0.018458875166221855,0.6694330566943306,ReLu1,EVC,100epochs
38,0.11418773769554971,0.014598540145985401,ReLu1,EVC,100epochs
39,0.13366258845818735,0.004199580041995801,ReLu1,EVC,100epochs
40,0.030716830062095298,0.5314468553144686,ReLu1,EVC,100epochs
41,-0.028590702300719716,0.5867413258674132,ReLu1,EVC,100epochs
42,0.02789615519976073,0.577942205779422,ReLu1,EVC,100epochs
43,0.2190229630382163,0.00019998000199980003,ReLu1,EVC,100epochs
44,0.11872576220616689,0.0192980701929807,ReLu1,EVC,100epochs
45,0.09696501606557811,0.0638936106389361,ReLu1,IT,100epochs
46,0.027213851604044853,0.6227377262273772,ReLu1,IT,100epochs
47,0.07090221567309701,0.1267873212678732,ReLu1,IT,100epochs
48,0.20346721285578653,9.999000099990002e-05,ReLu1,IT,100epochs
49,0.09542426308667641,0.0750924907509249,ReLu1,IT,100epochs
50,-0.0520327903591602,0.257974202579742,ReLu1,IT,100epochs
51,0.05760406541110591,0.1830816918308169,ReLu1,IT,100epochs
52,0.03907398844918336,0.47665233476652336,ReLu1,IT,100epochs
53,0.11843243358428775,0.013598640135986401,ReLu1,IT,100epochs
54,0.0807974569216455,0.025997400259974,ReLu1,IT,100epochs
55,0.10816489344860235,0.0072992700729927005,ReLu1,IT,100epochs
56,-0.010095251466275316,0.8558144185581442,ReLu1,IT,100epochs
57,0.1613434652960923,9.999000099990002e-05,ReLu1,IT,100epochs
58,0.11943414300546558,0.024397560243975602,ReLu1,IT,100epochs
59,0.1103658811860013,0.007599240075992401,ReLu1,IT,100epochs
60,0.1786304166575567,0.004299570042995701,ReLu2,EVC,randomstate
61,0.12727790215251403,0.024397560243975602,ReLu2,EVC,randomstate
