,corr,p,layer,ROI,state
0,0.27210147967430826,9.999000099990002e-05,ReLu1,EVC,randomstate
1,0.2721503808932305,9.999000099990002e-05,ReLu1,EVC,randomstate
2,0.3084433291432113,9.999000099990002e-05,ReLu1,EVC,randomstate
3,0.267321396853968,9.999000099990002e-05,ReLu1,EVC,randomstate
4,0.23123828456268983,9.999000099990002e-05,ReLu1,EVC,randomstate
5,0.22421275158428927,9.999000099990002e-05,ReLu1,EVC,randomstate
6,0.2769152189642581,9.999000099990002e-05,ReLu1,EVC,randomstate
7,0.25703024529560015,9.999000099990002e-05,ReLu1,EVC,randomstate
8,0.22949669346769033,9.999000099990002e-05,ReLu1,EVC,randomstate
9,0.2699098511721635,9.999000099990002e-05,ReLu1,EVC,randomstate
10,0.24448278674848525,9.999000099990002e-05,ReLu1,IT,randomstate
11,0.2770453528743983,9.999000099990002e-05,ReLu1,IT,randomstate
12,0.28762113689064833,9.999000099990002e-05,ReLu1,IT,randomstate
13,0.2559723408716703,9.999000099990002e-05,ReLu1,IT,randomstate
14,0.24207997798551079,9.999000099990002e-05,ReLu1,IT,randomstate
15,0.2441310857699526,9.999000099990002e-05,ReLu1,IT,randomstate
16,0.27191330028054,9.999000099990002e-05,ReLu1,IT,randomstate
17,0.25367460182715174,9.999000099990002e-05,ReLu1,IT,randomstate
18,0.23553502361051676,9.999000099990002e-05,ReLu1,IT,randomstate
19,0.2764681854187842,9.999000099990002e-05,ReLu1,IT,randomstate
20,0.1359643679346922,0.0047995200479952005,ReLu1,EVC,100epochs
21,0.13996103034678656,0.0034996500349965005,ReLu1,EVC,100epochs
22,0.14087005441444866,0.0040995900409959,ReLu1,EVC,100epochs
23,0.1402490179157825,0.0033996600339966003,ReLu1,EVC,100epochs
24,0.15302434082683242,0.0010998900109989002,ReLu1,EVC,100epochs
25,0.13758267538347535,0.0046995300469953,ReLu1,EVC,100epochs
26,0.14965735496256233,0.001999800019998,ReLu1,EVC,100epochs
27,0.14523455728340548,0.0029997000299970002,ReLu1,EVC,100epochs
28,0.1491279415618794,0.0017998200179982,ReLu1,EVC,100epochs
29,0.14113205132432147,0.0030996900309969004,ReLu1,EVC,100epochs
30,0.1610142259586492,9.999000099990002e-05,ReLu1,IT,100epochs
31,0.153096804061203,0.0004999500049995,ReLu1,IT,100epochs
32,0.15739748227254638,0.00019998000199980003,ReLu1,IT,100epochs
33,0.1575828272943601,0.00029997000299970003,ReLu1,IT,100epochs
34,0.1626602809681671,9.999000099990002e-05,ReLu1,IT,100epochs
35,0.15134165264365232,0.00029997000299970003,ReLu1,IT,100epochs
36,0.16366341289232586,0.00019998000199980003,ReLu1,IT,100epochs
37,0.15813716811703302,9.999000099990002e-05,ReLu1,IT,100epochs
38,0.1567279633712468,0.00029997000299970003,ReLu1,IT,100epochs
39,0.15395972299947103,0.0004999500049995,ReLu1,IT,100epochs
40,0.4517874351799635,9.999000099990002e-05,ReLu2,EVC,randomstate
41,0.4774991209367163,9.999000099990002e-05,ReLu2,EVC,randomstate
42,0.4695508393135892,9.999000099990002e-05,ReLu2,EVC,randomstate
43,0.4683164497955555,9.999000099990002e-05,ReLu2,EVC,randomstate
44,0.49013843505757465,9.999000099990002e-05,ReLu2,EVC,randomstate
45,0.47147942533754017,9.999000099990002e-05,ReLu2,EVC,randomstate
46,0.473339664142359,9.999000099990002e-05,ReLu2,EVC,randomstate
47,0.47433553058550754,9.999000099990002e-05,ReLu2,EVC,randomstate
48,0.477933007413524,9.999000099990002e-05,ReLu2,EVC,randomstate
49,0.4878460943259788,9.999000099990002e-05,ReLu2,EVC,randomstate
50,0.3629093677841372,9.999000099990002e-05,ReLu2,IT,randomstate
51,0.3884716761674794,9.999000099990002e-05,ReLu2,IT,randomstate
52,0.390245558652747,9.999000099990002e-05,ReLu2,IT,randomstate
53,0.35742172936346717,9.999000099990002e-05,ReLu2,IT,randomstate
54,0.3608822365778294,9.999000099990002e-05,ReLu2,IT,randomstate
55,0.3859721327845968,9.999000099990002e-05,ReLu2,IT,randomstate
56,0.37376135639845764,9.999000099990002e-05,ReLu2,IT,randomstate
57,0.362322478719019,9.999000099990002e-05,ReLu2,IT,randomstate
58,0.3659436096693473,9.999000099990002e-05,ReLu2,IT,randomstate
59,0.3846625596895165,9.999000099990002e-05,ReLu2,IT,randomstate
60,0.12199707128885837,0.017598240175982403,ReLu2,EVC,100epochs
61,0.05923136988449344,0.27007299270072993,ReLu2,EVC,100epochs
62,0.09244878292638826,0.08639136086391361,ReLu2,EVC,100epochs
63,0.12402244690235537,0.0168983101689831,ReLu2,EVC,100epochs
64,0.08226751976419937,0.11288871112888711,ReLu2,EVC,100epochs
65,0.12419152369255056,0.014198580141985802,ReLu2,EVC,100epochs
66,0.08023362091202474,0.1468853114688531,ReLu2,EVC,100epochs
67,0.101356153360102,0.0537946205379462,ReLu2,EVC,100epochs
68,0.11081234360348134,0.029897010298970104,ReLu2,EVC,100epochs
69,0.07787643056810864,0.1513848615138486,ReLu2,EVC,100epochs
70,0.1504693389689057,0.0011998800119988001,ReLu2,IT,100epochs
71,0.12330168926372163,0.007899210078992101,ReLu2,IT,100epochs
72,0.13465208742134482,0.0033996600339966003,ReLu2,IT,100epochs
73,0.1594293249985031,0.0007999200079992001,ReLu2,IT,100epochs
74,0.1349542445597121,0.0029997000299970002,ReLu2,IT,100epochs
75,0.15818521010816272,0.00039996000399960006,ReLu2,IT,100epochs
76,0.11811181989919288,0.012398760123987601,ReLu2,IT,100epochs
